Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,FOW,FOL,FOP,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Ivan Barbashev,27,TOT,C,82,16,29,45,1,42,3.5,14,2,0,2,25,3,1,126,12.7,1374,46,182,55,89,38.2,1021,1206,45.8,0.7,777,901,46.3,0.8,10.2,91.5,101.7,51.7,48.3,49,40,-1.5,218,57.8,2250000
Aleksander Barkov,27,FLA,C,68,23,55,78,10,8,7.3,14,8,1,6,32,22,1,208,11.1,1443,48,52,731,601,54.9,1149,842,57.7,4.6,849,669,55.9,3.5,11.5,88.4,99.9,48.9,51.1,56,38,6.9,345,60.3,10000000
Morgan Barron,24,WPG,C,70,8,13,21,4,31,1.5,7,0,1,2,10,1,2,112,7.1,928,44,118,13,16,44.8,710,721,49.6,-2.7,530,516,50.7,-1.1,7.4,93.1,100.4,36.2,63.8,19,16,-1.7,183,61.2,925000
Mathew Barzal,25,NYI,C,58,14,37,51,5,22,4.9,10,4,0,5,22,15,0,139,10.1,1086,34,25,104,188,35.6,964,766,55.7,9.5,697,574,54.8,8.8,8.6,91,99.6,78.1,21.9,49,68,10.2,254,54.7,7000000
Drake Batherson,24,OTT,C,82,22,40,62,-35,33,4.7,8,14,0,2,25,15,0,249,8.8,1526,35,115,13,25,34.2,1259,1143,52.4,1.1,962,832,53.6,2.1,7.2,87.3,94.4,59.9,40.1,38,38,5.9,443,56.2,4975000
Emil Bemström,23,CBJ,C,55,7,15,22,-11,6,1.4,4,3,0,0,12,3,0,95,7.4,666,21,16,7,10,41.2,557,634,46.8,2.4,408,469,46.5,2.7,8.3,89.8,98,55.8,44.2,16,9,-5.7,180,52.8,900000
Matthew Beniers,20,SEA,C,80,24,33,57,14,2,5.8,20,4,0,4,26,6,1,148,16.2,1367,48,79,409,560,42.2,1060,993,51.6,-1.1,796,740,51.8,-1.7,12.7,89.2,101.8,56.4,43.6,55,48,10.1,270,54.8,897500
Patrice Bergeron,37,BOS,C,78,27,31,58,35,22,7,16,9,2,7,21,10,0,249,10.8,1357,54,66,1043,663,61.1,1140,781,59.3,11.6,857,596,59,10.5,10,93.7,103.7,56.5,43.5,38,21,22.5,437,57,2500000
Nick Bjugstad,30,TOT,C,78,17,12,29,13,34,2.6,15,1,1,1,12,0,0,145,11.7,1264,44,168,530,578,47.8,890,1004,47,0.6,670,760,46.9,1,10,92.9,103,39.2,60.8,33,31,-4.4,247,58.7,450000
Colin Blackwell,29,CHI,C,53,2,8,10,-16,6,-0.2,2,0,0,0,7,0,1,53,3.8,625,17,49,18,18,50,405,547,42.5,-0.7,288,395,42.2,-1.4,7,89.5,96.5,32.4,67.6,20,15,-9.7,99,53.5,1200000
Teddy Blueger,28,TOT,C,63,4,12,16,-9,30,0.2,4,0,0,1,11,0,1,85,4.7,813,47,71,299,276,52,581,666,46.6,-3.3,431,483,47.2,-2.6,7,90.6,97.6,19,81,26,16,-4.5,128,66.4,2200000
Jesper Boqvist,24,NJD,C,70,10,11,21,8,2,1.8,10,0,0,2,11,0,0,67,14.9,812,20,50,66,133,33.2,715,673,51.5,-3.3,505,496,50.4,-4.6,9.5,92.3,101.9,51.4,48.6,22,28,2.7,135,49.6,874125
Travis Boyd,29,ARI,C,82,15,19,34,-32,26,1.1,13,2,0,3,11,8,0,94,16,1355,59,39,502,654,43.4,827,1105,42.8,-2.9,617,850,42.1,-3.3,10.7,88.3,99,45.7,54.3,35,34,-18.8,168,56,1750000
Derick Brassard,35,OTT,C,62,13,10,23,3,30,2.5,8,5,0,4,5,5,0,92,14.1,755,10,90,143,143,50,607,554,52.3,0.8,444,407,52.2,-0.1,7.6,93.4,101,41.2,58.8,16,24,-1.3,139,66.2,750000
